aspect,scope,category,pattern,is_neutral_noun,ruleset,priority,term_kind,topic_type,trend_use,note
무기자차,generic,,미네랄,false,retrieval-topic,1,ko,,,
무기자차,generic,,ZnO,false,retrieval-topic,1,latin,,,
무기자차,generic,,TiO2,false,retrieval-topic,1,latin,,,
무기자차,generic,,징크옥사이드,false,retrieval-topic,1,mfds_inci,,,
무기자차,generic,,티타늄디옥사이드,false,retrieval-topic,1,mfds_inci,,,
무기자차,generic,,산화아연,false,retrieval-topic,1,mfds_inci,,,
무기자차,generic,,이산화티타늄,false,retrieval-topic,1,mfds_inci,,,
무기자차,generic,,Zinc Oxide,false,retrieval-topic,1,mfds_inci,,,
무기자차,generic,,Titanium Dioxide,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,유기자차,false,retrieval-topic,1,ko,formula,true,케미컬·유비놀 0건 제외
유기자차,generic,,아보벤존,false,retrieval-topic,1,ko|mfds_inci,,,
유기자차,generic,,옥토크릴렌,false,retrieval-topic,1,ko|mfds_inci,,,
유기자차,generic,,화학적,false,retrieval-topic,1,ko,,,
유기자차,generic,,에칠헥실트리아존,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,비스-에칠헥실옥시페놀메톡시페닐트리아진,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,에칠헥실살리실레이트,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,에칠헥실메톡시신나메이트,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,부틸메톡시디벤조일메탄,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,디에칠아미노하이드록시벤조일헥실벤조에이트,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,드로메트리졸트리실록산,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,테레프탈릴리덴디캠퍼설포닉애씨드,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,페닐벤즈이미다졸설포닉애씨드,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,벤조페논-3,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,4-메칠벤질리덴캠퍼,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,에틸헥실메톡시신나메이트,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,Avobenzone,false,retrieval-topic,1,mfds_inci,,,
유기자차,generic,,Octocrylene,false,retrieval-topic,1,mfds_inci,,,
혼합자차,generic,,혼합자차,false,retrieval-topic,1,ko,formula,true,19편뿐. 분기당 표본 부족 가능성 높음 -> 판정 시 확인
SPF_PA,generic,,차단지수,false,retrieval-topic,1,ko,spec,true,경계 매칭 필수. 부분문자열은 coupang에 걸려 오탐 16%
SPF_PA,generic,,SPF,false,retrieval-topic,1,latin,,,
SPF_PA,generic,,PA,false,retrieval-topic,1,latin,,,
SPF_PA,generic,,UVA,false,retrieval-topic,1,latin,,,
SPF_PA,generic,,UVB,false,retrieval-topic,1,latin,,,
성분_신제품,generic,,성분,false,retrieval-topic,1,ko,event,true,'신제품'만은 3편뿐. 전용 검색어 추가 대상(UnitA 4.1)
성분_신제품,generic,,신제품,false,retrieval-topic,1,ko,,,
성분_신제품,generic,,출시,false,retrieval-topic,1,ko,,,
성분_신제품,generic,,리뉴얼,false,retrieval-topic,1,ko,,,
성분_신제품,generic,,신상,false,retrieval-topic,1,ko,,,
추천_재구매,generic,,재구매,false,retrieval-topic,1,ko,genre,false,'추천' 396/518=76%. 장르 표시일 뿐 주제가 아니다. 트렌드 판정 제외
추천_재구매,generic,,품절,false,retrieval-topic,1,ko,,,
추천_재구매,generic,,인생템,false,retrieval-topic,1,ko,,,
추천_재구매,generic,,추천,false,retrieval-topic,1,ko,,,
선크림,generic,,선크림,false,retrieval-topic,1,ko,product_category,false,481/518=93%. 판별력 없음. 다른 소스에서 문서 필터로만 사용
선크림,generic,,썬크림,false,retrieval-topic,1,ko,,,
선크림,generic,,자외선차단제,false,retrieval-topic,1,ko|mfds_inci,,,
선크림,generic,,선블록,false,retrieval-topic,1,ko,,,
선크림,generic,,선스틱,false,retrieval-topic,1,ko,,,
선크림,generic,,선쿠션,false,retrieval-topic,1,ko,,,
선크림,generic,,선세럼,false,retrieval-topic,1,ko,,,
선크림,generic,,선젤,false,retrieval-topic,1,ko,,,
선크림,generic,,썬쿠션,false,retrieval-topic,1,ko,,,
선크림,generic,,썬스틱,false,retrieval-topic,1,ko,,,
선크림,generic,,선에센스,false,retrieval-topic,1,ko,,,
선크림,generic,,선스프레이,false,retrieval-topic,1,ko,,,
선크림,generic,,sunscreen,false,retrieval-topic,1,latin,,,
